sample_accession	sample_description	description	study_accession
SAMN31463827	16S rRNA	16S rRNA	PRJNA894544
SAMN31463828	16S rRNA	16S rRNA	PRJNA894544
SAMN31463831	16S rRNA	16S rRNA	PRJNA894544
SAMN31463833	16S rRNA	16S rRNA	PRJNA894544
SAMN31463834	16S rRNA	16S rRNA	PRJNA894544
SAMN31463840	16S rRNA	16S rRNA	PRJNA894544
SAMN31463842	16S rRNA	16S rRNA	PRJNA894544
SAMN31463845	16S rRNA	16S rRNA	PRJNA894544
SAMN31463846	16S rRNA	16S rRNA	PRJNA894544
SAMN31463849	16S rRNA	16S rRNA	PRJNA894544
SAMN31463851	16S rRNA	16S rRNA	PRJNA894544
SAMN31463854	16S rRNA	16S rRNA	PRJNA894544
SAMN31463860	16S rRNA	16S rRNA	PRJNA894544
SAMN31463864	16S rRNA	16S rRNA	PRJNA894544
SAMN31463865	16S rRNA	16S rRNA	PRJNA894544
SAMN31463872	16S rRNA	16S rRNA	PRJNA894544
SAMN31463874	16S rRNA	16S rRNA	PRJNA894544
SAMN31463875	16S rRNA	16S rRNA	PRJNA894544
SAMN31463877	16S rRNA	16S rRNA	PRJNA894544
SAMN31463878	16S rRNA	16S rRNA	PRJNA894544
SAMN31463880	16S rRNA	16S rRNA	PRJNA894544
SAMN31463882	16S rRNA	16S rRNA	PRJNA894544
SAMN31463887	16S rRNA	16S rRNA	PRJNA894544
SAMN31463891	16S rRNA	16S rRNA	PRJNA894544
SAMN31463893	16S rRNA	16S rRNA	PRJNA894544
SAMN31463895	16S rRNA	16S rRNA	PRJNA894544
SAMN31463902	16S rRNA	16S rRNA	PRJNA894544
SAMN31463904	16S rRNA	16S rRNA	PRJNA894544
SAMN31463906	16S rRNA	16S rRNA	PRJNA894544
SAMN31463908	16S rRNA	16S rRNA	PRJNA894544
SAMN31463909	16S rRNA	16S rRNA	PRJNA894544
SAMN31463913	16S rRNA	16S rRNA	PRJNA894544
SAMN31463916	16S rRNA	16S rRNA	PRJNA894544
SAMN31463918	16S rRNA	16S rRNA	PRJNA894544
SAMN31463923	16S rRNA	16S rRNA	PRJNA894544
SAMN31463924	16S rRNA	16S rRNA	PRJNA894544
SAMN31463926	16S rRNA	16S rRNA	PRJNA894544
SAMN31463927	16S rRNA	16S rRNA	PRJNA894544
SAMN31463929	16S rRNA	16S rRNA	PRJNA894544
SAMN31463933	16S rRNA	16S rRNA	PRJNA894544
SAMN31463934	16S rRNA	16S rRNA	PRJNA894544
SAMN31463936	16S rRNA	16S rRNA	PRJNA894544
SAMN31463937	16S rRNA	16S rRNA	PRJNA894544
SAMN31463939	16S rRNA	16S rRNA	PRJNA894544
SAMN31463940	16S rRNA	16S rRNA	PRJNA894544
SAMN31463941	16S rRNA	16S rRNA	PRJNA894544
SAMN31463943	16S rRNA	16S rRNA	PRJNA894544
SAMN31463947	16S rRNA	16S rRNA	PRJNA894544
SAMN31463949	16S rRNA	16S rRNA	PRJNA894544
SAMN31463955	16S rRNA	16S rRNA	PRJNA894544
SAMN31463959	16S rRNA	16S rRNA	PRJNA894544
SAMN31463964	16S rRNA	16S rRNA	PRJNA894544
SAMN31463969	16S rRNA	16S rRNA	PRJNA894544
SAMN31463973	16S rRNA	16S rRNA	PRJNA894544
SAMN31463975	16S rRNA	16S rRNA	PRJNA894544
SAMN31463976	16S rRNA	16S rRNA	PRJNA894544
SAMN31463982	16S rRNA	16S rRNA	PRJNA894544
SAMN31463984	16S rRNA	16S rRNA	PRJNA894544
SAMN31463985	16S rRNA	16S rRNA	PRJNA894544
SAMN31463987	16S rRNA	16S rRNA	PRJNA894544
SAMN31463988	16S rRNA	16S rRNA	PRJNA894544
SAMN31463990	16S rRNA	16S rRNA	PRJNA894544
SAMN31463991	16S rRNA	16S rRNA	PRJNA894544
SAMN32109602	16S rRNA	16S rRNA	PRJNA907751
SAMN32109604	16S rRNA	16S rRNA	PRJNA907751
SAMN32109606	16S rRNA	16S rRNA	PRJNA907751
SAMN32109610	16S rRNA	16S rRNA	PRJNA907751
SAMN32109611	16S rRNA	16S rRNA	PRJNA907751
SAMN32109612	16S rRNA	16S rRNA	PRJNA907751
SAMN32109613	16S rRNA	16S rRNA	PRJNA907751
SAMN32109614	16S rRNA	16S rRNA	PRJNA907751
SAMN32109619	16S rRNA	16S rRNA	PRJNA907751
SAMN32109620	16S rRNA	16S rRNA	PRJNA907751
SAMN32109621	16S rRNA	16S rRNA	PRJNA907751
SAMN32109625	16S rRNA	16S rRNA	PRJNA907751
SAMN32109632	16S rRNA	16S rRNA	PRJNA907751
SAMN32109633	16S rRNA	16S rRNA	PRJNA907751
SAMN32109637	16S rRNA	16S rRNA	PRJNA907751
SAMN32109648	16S rRNA	16S rRNA	PRJNA907751
SAMN32109649	16S rRNA	16S rRNA	PRJNA907751
SAMN32109651	16S rRNA	16S rRNA	PRJNA907751
SAMN32109653	16S rRNA	16S rRNA	PRJNA907751
SAMN32109655	16S rRNA	16S rRNA	PRJNA907751
SAMN32109656	16S rRNA	16S rRNA	PRJNA907751
SAMN32109657	16S rRNA	16S rRNA	PRJNA907751
SAMN32109662	16S rRNA	16S rRNA	PRJNA907751
SAMN32109663	16S rRNA	16S rRNA	PRJNA907751
SAMN32109670	16S rRNA	16S rRNA	PRJNA907751
SAMN32109671	16S rRNA	16S rRNA	PRJNA907751
SAMN32109676	16S rRNA	16S rRNA	PRJNA907751
SAMN32109685	16S rRNA	16S rRNA	PRJNA907751
SAMN32109688	16S rRNA	16S rRNA	PRJNA907751
SAMN32109690	16S rRNA	16S rRNA	PRJNA907751
SAMN32109693	16S rRNA	16S rRNA	PRJNA907751
SAMN32109694	16S rRNA	16S rRNA	PRJNA907751
SAMN32109697	16S rRNA	16S rRNA	PRJNA907751
SAMN32109698	16S rRNA	16S rRNA	PRJNA907751
SAMN32109701	16S rRNA	16S rRNA	PRJNA907751
SAMN32109706	16S rRNA	16S rRNA	PRJNA907751
SAMN32109707	16S rRNA	16S rRNA	PRJNA907751
SAMN32109708	16S rRNA	16S rRNA	PRJNA907751
SAMN32109716	16S rRNA	16S rRNA	PRJNA907751
SAMN32109717	16S rRNA	16S rRNA	PRJNA907751
SAMN32109726	16S rRNA	16S rRNA	PRJNA907751
SAMN32109733	16S rRNA	16S rRNA	PRJNA907751
SAMN32109739	16S rRNA	16S rRNA	PRJNA907751
SAMN32109743	16S rRNA	16S rRNA	PRJNA907751
SAMN32109746	16S rRNA	16S rRNA	PRJNA907751
SAMN32109751	16S rRNA	16S rRNA	PRJNA907751
SAMN32109754	16S rRNA	16S rRNA	PRJNA907751
SAMN32109763	16S rRNA	16S rRNA	PRJNA907751
SAMN32109766	16S rRNA	16S rRNA	PRJNA907751
SAMN32109770	16S rRNA	16S rRNA	PRJNA907751
SAMN32109773	16S rRNA	16S rRNA	PRJNA907751
SAMN32109777	16S rRNA	16S rRNA	PRJNA907751
SAMN32109778	16S rRNA	16S rRNA	PRJNA907751
SAMN32109781	16S rRNA	16S rRNA	PRJNA907751
SAMN32109782	16S rRNA	16S rRNA	PRJNA907751
SAMN32109787	16S rRNA	16S rRNA	PRJNA907751
SAMN32109788	16S rRNA	16S rRNA	PRJNA907751
SAMN32109790	16S rRNA	16S rRNA	PRJNA907751
SAMN32109793	16S rRNA	16S rRNA	PRJNA907751
